# ODT 1.0
# Table Start
# Title: mmArchive Data Table, Fri Aug 24 20:55:08 BST 2007
# Columns: \
# Oxs_UZeeman::Bx Oxs_TimeDriver::Mx
# Units: \
# mT              A/m            
  0               0              
  1               23498.98581818331
  2               47048.67195294636
  3               70707.3986524931
  4               94529.83918905807
  5               118576.8639857576
  6               142916.943133966
  7.000000000000001 167622.682716999
  8               192779.4630956562
  9               218487.2629257648
  10              244868.8672399517
  11              272069.9232265818
  12              300279.659055543
  13              329746.6680739537
  14              360811.0617719989
  15              393967.0473671699
  16              429977.2529514048
  17              470149.1082721257
  18              517139.6245627891
  19              578596.2252518293
  20              1698430.496009755
  21              1698431.219395379
  22              1698431.938242988
  23              1698432.674035582
  24              1698433.385852377
  25              1698434.096316932
  26              1698434.813461647
  27              1698435.531510342
  28              1698436.250290656
  29              1698436.969092815
  30              1698437.687993739
  31              1698438.406813883
  32              1698439.125330412
  33              1698439.843299654
  34              1698440.560592202
  35              1698441.277166724
  36              1698441.99303023
  37              1698442.708200843
  38              1698443.422657852
  39              1698444.136495217
  40              1698444.849805413
  41              1698445.562597826
  42.00000000000001 1698446.274912159
  43.00000000000001 1698446.986770941
  44              1698447.698199272
  45              1698448.409206665
  46              1698449.119792157
  47              1698449.829946073
  48              1698450.539654894
  49              1698451.248902072
  50              1698451.957674693
